,PREDDEG_factor,Control_factor,NPT4_COMBINE,DEP_STAT_PCT_IND,PAR_ED_PCT_1STGEN,MD_FAMINC,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,APPL_SCH_PCT_GE2,MD_EARN_WNE_P6,MD_EARN_WNE_P10,RPY_3YR_RT_SUPP,CDR3
152318,Bachelor's-degree,Private Nonprofit,32700,0.032581454,0.15483871,95824.94948,0.1836,0.6063,27000,8015.5,0.825814536,64800,79200,0.917602996,0.032
458195,Certificate-degree,Private For-profit,14593,0.835943061,0.570824524,13721.85731,0.9474,0.9825,12125,4750,0.287544484,16800,22900,0.161100197,0.188
366395,Associate's-degree,Public,6489,0.268049862,0.476613612,34405.37798,0.2779,0.1711,7016.5,3500,0.344014055,27500,36300,0.547290117,0.141
128957,Certificate-degree,Private For-profit,14861,0.584821429,0.672839506,14656.49754,0.6008,0.581,9184,3072,0.370535714,18100,19000,0.298507463,0.257
377069,Associate's-degree,Private For-profit,23736,0.765962788,0.52367531,17679.94098,0.6818,0.7027,18772,6334,0.297031896,29300,38800,0.261568373,0.286
132693,Associate's-degree,Public,5648,0.532091589,0.439387671,20285.30384,0.3843,0.2266,6250,3696,0.314272156,23100,28100,0.374000841,0.224
156338,Certificate-degree,Public,7010,0.6598778,0.613034623,17046.1437,0.3867,0.3287,12236.5,5500,0.421249151,24400,31100,0.392481203,0.252
131399,Bachelor's-degree,Public,18962,0.566643159,0.51176742,18558.71025,0.4532,0.3652,17240.5,5250,0.539139633,24600,34800,0.354066986,0.141
166656,Bachelor's-degree,Private Nonprofit,31920,0.203972868,0.305392419,58780.69885,0.3444,0.8397,25000,8234.5,0.724806202,89300,113400,0.868114818,0.015
439367,Certificate-degree,Private Nonprofit,16427,0.707865169,0.512437811,14431.40066,0.9751,0.9938,13000,4750.5,0.367041199,15400,14200,0.490566038,0.102
377449,Associate's-degree,Private For-profit,16500,0.831710709,0.577715356,10981.50361,0.8,0.8885,25250,9500,0.425591099,17200,23900,0.072707243,0.32
176318,Bachelor's-degree,Private Nonprofit,8398,0.210958904,0.476271186,17645.32953,0.9035,0.8959,21406,5500,0.780821918,15700,22700,0.163179916,0.32
169248,Bachelor's-degree,Public,14804,0.17786017,0.320249777,60767.83446,0.3651,0.7498,27000,9500,0.530614407,31100,39800,0.603680223,0.059
134574,Certificate-degree,Private For-profit,17744,0.703832753,0.471311475,19326.05505,0.6283,0.7105,7917,3959,0.278745645,22700,28100,0.484732824,0.195
404073,Associate's-degree,Private Nonprofit,12024,0.639449324,0.531520899,18928.56903,0.6054,0.6452,20223.5,6000,0.435726154,21800,26400,0.303650033,0.191
111717,Certificate-degree,Private Nonprofit,15449,0.768010213,0.699160749,9906.248125,0.6388,0.4074,5600,2800,0.208462521,17500,21700,0.246637977,0.22
457484,Bachelor's-degree,Private Nonprofit,14204,0.408560311,0.402597403,29219.51698,0.419,0.6952,23530.5,6500,0.501945525,22000,26400,0.503816794,0.144
367103,Certificate-degree,Private For-profit,12591,0.843030303,0.74137931,12680.68715,0.5366,0.4878,6690.5,3191,0.063333333,18700,21100,0.336426914,0.024
420398,Associate's-degree,Public,4329,0.42480173,0.492934051,22067.35487,0.3025,0.0659,9000,4750,0.565392934,27000,33400,0.38,0.163
240240,Certificate-degree,Private For-profit,16072,0.512077295,0.440860215,26465.1737,0.5,0.6143,13125,4750,0.328502416,19700,19700,0.637681159,0.108
157085,Bachelor's-degree,Public,14335,0.174984672,0.288989053,55616.10612,0.2435,0.4923,19107,6900,0.576088289,35300,41900,0.682921853,0.062
195933,Certificate-degree,Private For-profit,18419,0.73824673,0.577546576,15490.90438,0.6347,0.6753,9065.5,3500,0.242488512,23600,27900,0.315411491,0.218
190530,Associate's-degree,Public,7185,0.401599236,0.505496519,14554.3238,0.7279,0.0824,6626,4750,0.530612245,23500,32100,0.346786248,0.133
246415,Certificate-degree,Private For-profit,11960,0.744897959,0.464788732,13713.02084,0.5872,0.4862,4878,1829.5,0.408163265,15200,20400,0.395833333,0.145
